Название вакансии,Название компании,Зарплата,Ссылка на вакансию
Программист 1С: ЗУП,Алабуга. Управление цифровой трансформации,https://izhevsk.hh.ru/vacancy/105914911?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Проект-менеджер 1C/ Консультант 1С,Тэйсти Кофе,https://izhevsk.hh.ru/vacancy/106083264?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Системный аналитик 1С,Алабуга. Управление цифровой трансформации,https://izhevsk.hh.ru/vacancy/105966992?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий инженер программист,АО ИРЗ,https://izhevsk.hh.ru/vacancy/105834140?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Младший специалист по технической поддержке,BlaBlaCar,https://izhevsk.hh.ru/vacancy/105004130?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Наладчик станков и манипуляторов с программным управлением,Машиностроительная корпорация Сплав,https://izhevsk.hh.ru/vacancy/105770412?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,АО ИЖЕВСКИЙ ЗАВОД ПЛАСТМАСС,https://izhevsk.hh.ru/vacancy/105770901?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий инженер-программист 1С,Фармаимпекс,https://izhevsk.hh.ru/vacancy/105835619?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,Первый Бит,https://izhevsk.hh.ru/vacancy/105771711?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Тестировщик 1С (junior),ООО Ситек,https://izhevsk.hh.ru/vacancy/106029831?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик 1С,АО ИРЗ,https://izhevsk.hh.ru/vacancy/105833935?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Руководитель группы разработки (Team Lead),Т-Банк,https://izhevsk.hh.ru/vacancy/99873567?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
DevOps Engineer,BFG Group,https://izhevsk.hh.ru/vacancy/100693299?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
